gene_id,s1,s2,s3
"CUFF.2","1432.3512558062","1432.3512558062","1432.3512558062"
"CUFF.17","6410.8140293501","6410.8140293501","6410.8140293501"
"CUFF.9","4493.8686478778","4493.8686478778","4493.8686478778"
"CUFF.8","532.6115888166","532.6115888166","532.6115888166"
"CUFF.3","5005.7086195145","5005.7086195145","5005.7086195145"
"CUFF.11","15375.2354131590","15375.2354131590","15375.2354131590"
"CUFF.13","630.6829566944","630.6829566944","630.6829566944"
"CUFF.7","1068.4582332378","1068.4582332378","1068.4582332378"
"CUFF.1","22742.6732566413","22742.6732566413","22742.6732566413"
"CUFF.10","1730.0272429555","1730.0272429555","1730.0272429555"
"CUFF.5","18616.9900795550","18616.9900795550","18616.9900795550"
"CUFF.14","1230.0219572582","1230.0219572582","1230.0219572582"
"CUFF.6","3323.1615441616","3323.1615441616","3323.1615441616"
"CUFF.18","262258.6502438191","262258.6502438191","262258.6502438191"
"CUFF.4","6852.5966115000","6852.5966115000","6852.5966115000"
"CUFF.16","1214.2399094327","1214.2399094327","1214.2399094327"
"CUFF.12","3944.1940350428","3944.1940350428","3944.1940350428"
"CUFF.19","9042.9314463270","9042.9314463270","9042.9314463270"
"CUFF.15","555.8369640389","555.8369640389","555.8369640389"
"CUFF.20","1669.0878719224","1669.0878719224","1669.0878719224"
